Time,Name,Attachment,Meet Name,Date,Event,Cut,Place
21.66,Jason Kim,Unattached,2022 CA OB CIF-SS Division 1,5/4/22,50 FR SCY Male,"""AAA""",
22.08,Jason Kim,Irvine Novaquatics,2021 CA NOVA June AG Closed Invite,6/20/21,50 FR SCY Male,"""AA""",Prelim 2nd
22.1,Jason Kim,Irvine Novaquatics,Chapman/Caltech at CMS,11/12/22,50 FR SCY Male,"""Slower than B""",Final 3rd
22.12,Jason Kim,Irvine Novaquatics,2022 CA RMDA Road to 2022 SCY Prelims,1/17/22,50 FR SCY Male,"""AA""",Prelim 12th
22.2,Jason Kim,Irvine Novaquatics,Redlands v. Chapman,1/28/23,50 FR SCY Male,"""Slower than B""",Final 3rd
22.23,Jason Kim,Irvine Novaquatics,2022 CA NOVA President's Day Sr,2/20/22,50 FR SCY Male,"""AA""",Prelim
22.24,Jason Kim,Irvine Novaquatics,2022 SI CA NV Speedo Sectional,3/5/22,50 FR SCY Male,"""AA""",Prelim 107th
22.34,Jason Kim,Irvine Novaquatics,Concordia v. Chapman,12/2/22,50 FR SCY Male,"""Slower than B""",Final 6th
22.38,Jason Kim,Irvine Novaquatics,2020 Sectionals - Carlsbard,2/29/20,50 FR SCY Male,2016-2020 AAA,Prelim 125th
22.4,Jason Kim,Irvine Novaquatics,2018 CA Kevin B Perry Senior,11/2/18,50 FR SCY Male,2016-2020 AAA,Prelim 86th
22.4,Jason Kim,Irvine Novaquatics,2019 CA Kevin Perry Sr Invite at RMDA-SCY,11/1/19,50 FR SCY Male,2016-2020 AAA,Prelim 96th
22.45,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/17/19,50 FR SCY Male,2016-2020 AAA,Final 6th
22.46,Jason Kim,Irvine Novaquatics,2021 CA Dec CA NV Speedo Sectionals,12/18/21,50 FR SCY Male,"""AA""",Prelim 90th
22.49,Jason Kim,Irvine Novaquatics,2021 CA SCS Race Series Champs,11/21/21,50 FR SCY Male,"""AA""",
22.58,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/17/19,50 FR SCY Male,2016-2020 AAA,Prelim 8th
22.59,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 3,4/24/21,50 FR SCY Male,"""AA""",Final 1st
22.63,Jason Kim,Irvine Novaquatics,2019 CA SRS Championships,11/16/19,50 FR SCY Male,2016-2020 AAA,Final 38th
22.63,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/7/18,50 FR SCY Male,2016-2020 AAA,Final 6th
22.63,Jason Kim,Irvine Novaquatics,2019 CA CA-NV Dec Speedo Sectionals,12/15/19,50 FR SCY Male,2016-2020 AAA,Prelim 65th
22.66,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/16/18,50 FR SCY Male,2016-2020 AAA,Prelim 4th
22.68,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/9/18,50 FR SCY Male,2016-2020 AAA,Prelim 18th
22.72,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #4 AZOT- NOVA1,10/24/21,50 FR SCY Male,"""AA""",Final 6th
22.72,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/16/18,50 FR SCY Male,2016-2020 AAA,Final 5th
22.77,Jason Kim,Irvine Novaquatics,2018 CA SCY Armada Sr Meet,1/13/18,50 FR SCY Male,2016-2020 AAA,Final 22nd
22.81,Jason Kim,Irvine Novaquatics,2017 CA Kevin B. Perry Senior Invitational,11/3/17,50 FR SCY Male,2016-2020 AAA,Prelim 89th
22.83,Jason Kim,Irvine Novaquatics,2019 Sectionals - Carlsbad,3/2/19,50 FR SCY Male,2016-2020 AA,Prelim 148th
22.93,Jason Kim,Irvine Novaquatics,2019 CA MVN Sr Q Qualifier,1/19/19,50 FR SCY Male,2016-2020 AA,Final 29th
22.93,Jason Kim,Irvine Novaquatics,2020 CA Super Sunday NOVA-ROSE,2/2/20,50 FR SCY Male,2016-2020 AA,Final 12th
22.95,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,50 FR SCY Male,2016-2020 AAA,Prelim 3rd
22.99,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-RMDA,9/22/19,50 FR SCY Male,2016-2020 AA,Final
23.01,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,50 FR SCY Male,2016-2020 AAA,Final 2nd
23.08,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,50 FR SCY Male,2016-2020 AAA,
